product_id,view,criterion,baseline_score_1_to_5,structured_score_1_to_5,notes
P001,front,product matches title,,,
P001,front,correct color/material,,,
P001,front,background is clean,,,
P001,front,single product only,,,
P001,front,catalog-ready composition,,,
P001,three_quarter,product matches title,,,
P001,three_quarter,correct color/material,,,
P001,three_quarter,background is clean,,,
P001,three_quarter,single product only,,,
P001,three_quarter,catalog-ready composition,,,
P002,front,product matches title,,,
P002,front,correct color/material,,,
P002,front,background is clean,,,
P002,front,single product only,,,
P002,front,catalog-ready composition,,,
P002,side,product matches title,,,
P002,side,correct color/material,,,
P002,side,background is clean,,,
P002,side,single product only,,,
P002,side,catalog-ready composition,,,
P003,front,product matches title,,,
P003,front,correct color/material,,,
P003,front,background is clean,,,
P003,front,single product only,,,
P003,front,catalog-ready composition,,,
P003,three_quarter,product matches title,,,
P003,three_quarter,correct color/material,,,
P003,three_quarter,background is clean,,,
P003,three_quarter,single product only,,,
P003,three_quarter,catalog-ready composition,,,
